IDs         length   Exptl.  resolution  R-factor FreeRvalue
5LZKA       180      XRAY        1.570    0.16    0.19
1XKPB       124      XRAY        1.700    0.20    0.24
3GETA       365      XRAY        2.010    0.18    0.23
3POHA       451      XRAY        1.550    0.14    0.16
3DJMA       116      XRAY        2.510    0.21    0.23
4FLAA       152      XRAY        2.200    0.23    0.26
1YI9A       309      XRAY        1.700    0.20    0.23
1HXNA       219      XRAY        1.800    0.18    1.00
5U6ZA        75      XRAY        2.600    0.20    0.24
4UEJA       346      XRAY        1.740    0.19    0.23
5VJIC        64      XRAY        1.860    0.22    0.28
3D01A       165      XRAY        1.700    0.18    0.21
4CC9B       119      XRAY        2.470    0.18    0.22
2R91A       286      XRAY        2.000    0.19    0.21
3TW5A       367      XRAY        2.950    0.22    0.23
3MABA        93      XRAY        1.420    0.17    0.21
4N0LA       351      XRAY        2.370    0.20    0.22
3RNLA       311      XRAY        1.750    0.16    0.18
1GVNB       287      XRAY        1.950    0.20    0.24
3TJZB       355      XRAY        2.900    0.21    0.26
2O6KA        81      XRAY        2.100    0.21    0.22
3G89A       249      XRAY        1.500    0.18    0.21
1W0NA       131      XRAY        0.800    0.13    0.14
4AIPA       742      XRAY        2.400    0.24    0.30
6F1KA       129      XRAY        2.200    0.22    0.25
3DT5A       135      XRAY        1.940    0.17    0.20
2XCME        74      XRAY        2.200    0.20    0.24
2WDQD       115      XRAY        2.400    0.17    0.20
5ZZWA       414      XRAY        2.600    0.25    0.28
4F06A       371      XRAY        1.300    0.12    0.14
4U5QA       478      XRAY        1.810    0.20    0.24
3F9TA       397      XRAY        2.110    0.16    0.19
1LF6A       684      XRAY        2.100    0.20    0.23
4LRZE       318      XRAY        2.320    0.20    0.25
3EURA       142      XRAY        1.300    0.14    0.17
5MLPA       268      XRAY        1.990    0.20    0.25
6DG4A       263      XRAY        1.440    0.12    0.15
1K1XA       659      XRAY        2.400    0.20    0.24
1YF2A       425      XRAY        2.400    0.24    0.28
1F2LA        76      XRAY        2.000    0.24    0.32
4LQBA       130      XRAY        1.720    0.14    0.18
3U52C       333      XRAY        1.950    0.18    0.23
4L6HA       789      XRAY        1.750    0.19    0.23
2R19A       159      XRAY        2.160    0.22    0.27
5YJWA       484      XRAY        1.850    0.18    0.20
2F5JA       181      XRAY        2.200    0.22    0.24
5EHAA       153      XRAY        1.350    0.16    0.18
5EJRA       507      XRAY        2.000    0.18    0.22
3A16A       373      XRAY        1.600    0.25    0.27
1I3JA       116      XRAY        2.200    0.21    0.25
3BC1B        59      XRAY        1.800    0.20    0.24
5CX2A        55      XRAY        2.210    0.24    0.29
4XAXA       184      XRAY        2.400    0.16    0.18
2JE6I       251      XRAY        1.600    0.22    0.25
2P4FA       299      XRAY        1.400    0.14    0.19
3LYDA       161      XRAY        1.450    0.17    0.19
2BKRA       212      XRAY        1.900    0.17    0.21
3KKLA       244      XRAY        2.030    0.23    0.25
5OENB       175      XRAY        2.920    0.26    0.31
4Y7UA       231      XRAY        1.700    0.23    0.26
1I58A       189      XRAY        1.600    0.22    0.26
1JB3A       131      XRAY        1.600    0.20    0.24
4TS5A       210      XRAY        2.400    0.19    0.24
1YNFA       458      XRAY        1.900    0.22    0.25
3H8UA       125      XRAY        1.800    0.15    0.20
5FAFA       119      XRAY        1.050    0.13    0.17
3V33A       223      XRAY        2.000    0.19    0.23
5Y3CA        85      XRAY        1.960    0.17    0.22
5V5WA       230      XRAY        2.720    0.22    0.26
5E4BA       209      XRAY        1.500    0.16    0.18
3WRYA       431      XRAY        2.300    0.20    0.25
1DMUA       299      XRAY        2.200    0.18    0.24
1XT8A       292      XRAY        2.000    0.18    0.23
4AK2A       288      XRAY        1.350    0.16    0.19
4DKCA       190      XRAY        1.850    0.17    0.20
3G14A       193      XRAY        1.750    0.18    0.22
3V96A       184      XRAY        1.900    0.22    0.27
4QIUA       356      XRAY        1.400    0.18    0.20
4QUVA       427      XRAY        2.740    0.23    0.28
4ZIEA       168      XRAY        1.800    0.19    0.23
3ZH5A       134      XRAY        1.800    0.20    0.23
2FI0A        81      XRAY        2.100    0.20    0.24
1RYIA       382      XRAY        1.800    0.18    0.21
4KT6B       161      XRAY        1.710    0.20    0.23
2NXWA       565      XRAY        1.500    0.17    0.20
3V9OA       143      XRAY        1.450    0.20    0.20
1URQA        63      XRAY        2.000    0.17    0.23
4N2KA       690      XRAY        1.570    0.18    0.21
1LFPA       249      XRAY        1.720    0.23    0.29
3PLUA        93      XRAY        1.400    0.19    0.23
2NWIA       172      XRAY        2.200    0.21    0.28
5AYSC       112      XRAY        2.090    0.20    0.22
5OOXA        67      XRAY        1.600    0.16    0.18
3IVPA       126      XRAY        2.020    0.20    0.23
6DBSA       565      XRAY        2.600    0.24    0.28
2E2AA       105      XRAY        2.100    0.20    0.25
1PDOA       135      XRAY        1.700    0.19    0.24
2W83C        77      XRAY        1.930    0.22    0.24
5AL6A        49      XRAY        0.800    0.11    0.12
3BW6A       144      XRAY        2.500    0.24    0.26
1WHZA        70      XRAY        1.520    0.15    0.21
5FU5A       123      XRAY        1.500    0.19    0.22
3GO9A       492      XRAY        1.620    0.17    0.20
4HESA       275      XRAY        1.900    0.14    0.16
4I4OA       146      XRAY        1.120    0.15    0.16
1Z2NX       324      XRAY        1.200    0.18    0.20
5J8JA       251      XRAY        2.720    0.19    0.24
5SV0A       244      XRAY        2.600    0.21    0.26
4RO3A       120      XRAY        1.800    0.16    0.20
3OTIA       398      XRAY        1.600    0.15    0.18
3QBTB       140      XRAY        2.000    0.21    0.24
3BTPA       556      XRAY        2.300    0.21    0.26
2HQ4A       161      XRAY        1.990    0.20    0.23
4LLEA       130      XRAY        1.680    0.20    0.24
1H0HA       977      XRAY        1.800    0.17    0.20
2EBBA       101      XRAY        1.600    0.22    0.24
2PVBA       108      XRAY        0.910    0.11    0.13
4FQGA       190      XRAY        2.000    0.19    0.24
3O53A       317      XRAY        2.000    0.19    0.23
2FBAA       492      XRAY        1.100    0.15    0.16
5WKRA       223      XRAY        1.400    0.14    0.17
2WMYA       150      XRAY        2.210    0.21    0.26
3NNFA       344      XRAY        2.200    0.20    0.23
1EAJA       126      XRAY        1.350    0.14    0.15
3HO6A       267      XRAY        1.600    0.17    0.20
3H3LA       241      XRAY        1.590    0.17    0.18
3F9XA       166      XRAY        1.250    0.18    0.21
3CNEA       175      XRAY        1.990    0.19    0.23
2XVOA       192      XRAY        2.080    0.20    0.23
2DXQA       150      XRAY        1.800    0.20    0.22
5B5IA        74      XRAY        1.600    0.19    0.21
4IGIA       203      XRAY        1.200    0.12    0.15
1C4OA       664      XRAY        1.500    0.25    0.27
1UPSA       420      XRAY        1.820    0.18    0.20
6F8AA       400      XRAY        1.350    0.18    0.19
2QR4A       587      XRAY        2.500    0.19    0.24
2QCVA       332      XRAY        1.900    0.18    0.20
5XOGW        83      XRAY        3.000    0.20    0.23
5UDQA       286      XRAY        2.090    0.19    0.23
3H1DA       405      XRAY        1.890    0.17    0.23
3PR6A       162      XRAY        1.800    0.18    0.22
3W1EA       360      XRAY        2.000    0.21    0.23
5B0NA       224      XRAY        1.800    0.21    0.26
6CWOA       344      XRAY        1.870    0.21    0.23
1JBEA       128      XRAY        1.080    0.10    0.15
3DMGA       381      XRAY        1.550    0.19    0.22
3CLMA       352      XRAY        1.140    0.13    0.16
4E2GA       126      XRAY        1.860    0.16    0.21
4TPSA       154      XRAY        1.650    0.13    0.19
1VI1A       345      XRAY        2.950    0.28    0.33
5KAGA       438      XRAY        2.460    0.21    0.24
1XKRA       206      XRAY        1.750    0.23    0.24
1M55A       197      XRAY        1.400    0.18    0.20
2W8XA        72      XRAY        1.600    0.14    0.17
2GKPA       167      XRAY        1.350    0.15    0.21
5DLOA       133      XRAY        1.400    0.13    0.16
2HPSA       186      XRAY        1.720    0.20    0.23
3D33A       108      XRAY        1.700    0.18    0.22
5X4BA       162      XRAY        1.500    0.15    0.18
3GU3A       284      XRAY        2.300    0.19    0.21
4K7JA       379      XRAY        1.970    0.17    0.23
2JKDA       187      XRAY        2.500    0.22    0.26
3OC8A       137      XRAY        2.100    0.17    0.24
3KDWA       221      XRAY        1.700    0.15    0.19
3NAPA       271      XRAY        2.500    0.17    0.17
5WHXA       271      XRAY        1.690    0.15    0.18
1TVFA       369      XRAY        2.000    0.17    0.20
1HXRA       115      XRAY        1.650    0.21    0.26
5J1GA       234      XRAY        1.800    0.19    0.22
1IT2A       146      XRAY        1.600    0.21    0.24
3IE4A       107      XRAY        1.450    0.19    0.20
3F3FC       570      XRAY        2.900    0.25    0.27
5IG0A       148      XRAY        1.750    0.19    0.21
3EHGA       128      XRAY        1.740    0.17    0.21
3TW0A       370      XRAY        2.000    0.20    0.23
2XJPA       258      XRAY        0.950    0.11    0.12
5VFBA       728      XRAY        1.360    0.14    0.17
1OH2Q       413      XRAY        2.400    0.21    0.25
5HVXA       277      XRAY        2.450    0.21    0.23
2IB0A       170      XRAY        2.000    0.20    0.23
4H8EA       256      XRAY        1.300    0.17    0.19
3E9FA       121      XRAY        1.800    0.19    0.22
3P01A       184      XRAY        2.650    0.23    0.27
2RA1A       412      XRAY        2.410    0.18    0.24
3VZXA       228      XRAY        1.540    0.18    0.23
1XKWA       665      XRAY        2.000    0.22    0.24
5E7HA       260      XRAY        1.570    0.16    0.17
5OPFA       194      XRAY        1.080    0.14    0.15
4GEHA       207      XRAY        1.950    0.22    0.25
2HZFA       114      XRAY        1.800    0.18    0.22
5EYIA       225      XRAY        2.160    0.19    0.21
5TOHA        72      XRAY        2.010    0.24    0.27
1ZYOA       191      XRAY        2.400    0.25    0.29
1DD4C        40      XRAY        2.400    0.23    0.24
4KQ7A       374      XRAY        1.620    0.14    0.16
2E3NA       255      XRAY        1.400    0.22    0.23
5YSIA       152      XRAY        1.550    0.21    0.25
2X2UA       246      XRAY        2.000    0.18    0.23
2Q4OA       215      XRAY        1.950    0.17    0.22
1YJ7A       171      XRAY        1.800    0.18    0.21
5KC8A       429      XRAY        1.750    0.19    0.22
3KWEA       213      XRAY        1.100    0.13    0.14
4ADMA       495      XRAY        1.650    0.16    0.18
1Z94A       147      XRAY        2.100    0.24    0.28
3NYMA       128      XRAY        1.900    0.17    0.21
1ZN6A       227      XRAY        1.800    0.20    0.23
4YTWA        81      XRAY        1.400    0.22    0.24
1QQFA       277      XRAY        1.450    0.16    0.22
2GAXA       135      XRAY        1.800    0.25    0.28
6AQKA       230      XRAY        1.800    0.18    0.23
3MXZA       116      XRAY        1.600    0.18    0.21
3N2OA       648      XRAY        2.300    0.20    0.24
5CPHA       212      XRAY        1.200    0.17    0.19
3MD7A       293      XRAY        1.270    0.11    0.13
5CQ2A        90      XRAY        1.400    0.15    0.18
5KNKB       333      XRAY        1.900    0.23    0.27
3LD1A       359      XRAY        2.500    0.22    0.28
4F3NA       432      XRAY        1.750    0.17    0.20
1IM3D        95      XRAY        2.200    0.22    0.24
5EYBA       362      XRAY        2.700    0.21    0.24
1UV7A       110      XRAY        1.700    0.20    0.24
4A6QA       143      XRAY        1.500    0.19    0.21
5ZE0B       389      XRAY        2.750    0.20    0.23
6DU4A       313      XRAY        1.700    0.15    0.17
4EU9A       514      XRAY        1.480    0.16    0.18
3AWUA       281      XRAY        1.160    0.14    0.17
5YHRA        97      XRAY        1.340    0.18    0.20
2H88D       103      XRAY        1.740    0.18    0.21
3GMGA       170      XRAY        1.500    0.18    0.21
1YQ5A       144      XRAY        2.000    0.22    0.24
4BWCA       170      XRAY        1.890    0.19    0.23
1FO0B       112      XRAY        2.500    0.22    0.28
2YEQA       527      XRAY        1.930    0.18    0.20
5D4VA       268      XRAY        1.600    0.17    0.21
6H9NB       103      XRAY        2.600    0.22    0.25
4O2TA       168      XRAY        2.400    0.19    0.22
4PAWA       225      XRAY        2.230    0.19    0.24
4LWSA       135      XRAY        2.000    0.19    0.24
3BB9A       148      XRAY        1.800    0.18    0.23
2UW1A       338      XRAY        1.950    0.19    0.23
4XB6D       281      XRAY        1.700    0.15    0.18
2Z1DA       372      XRAY        2.070    0.18    0.22
3TE8A       127      XRAY        1.700    0.18    0.23
2BL8A       103      XRAY        1.600    0.22    0.24
3AYHA       136      XRAY        2.190    0.19    0.24
5X6VG       139      XRAY        2.020    0.20    0.24
2QMLA       198      XRAY        1.550    0.18    0.21
3AA0B       244      XRAY        1.700    0.19    0.24
3LAAA       200      XRAY        1.350    0.12    0.13
2PV7A       298      XRAY        2.000    0.16    0.19
4PQ9A       257      XRAY        1.200    0.12    0.14
5OSWA       583      XRAY        1.780    0.18    0.24
4R2FA       431      XRAY        2.000    0.17    0.21
4YV4A        58      XRAY        1.800    0.21    0.24
5N40A       352      XRAY        1.700    0.16    0.20
5ZCTA       306      XRAY        2.050    0.20    0.24
3K6OA       224      XRAY        2.000    0.18    0.21
3FXDB        73      XRAY        2.100    0.21    0.25
4FQEA       222      XRAY        1.930    0.21    0.25
1KCMA       270      XRAY        2.000    0.22    0.27
2R3SA       335      XRAY        2.150    0.19    0.23
1KT6A       183      XRAY        1.100    0.19    0.22
3DLQR       211      XRAY        1.900    0.20    0.24
2CKKA       127      XRAY        1.450    0.14    0.17
3GWCA       258      XRAY        1.900    0.19    0.23
1ZX3A       122      XRAY        2.500    0.22    0.26
5TUUA       155      XRAY        2.250    0.21    0.24
3LD7A       101      XRAY        1.550    0.17    0.19
3L4QC       170      XRAY        2.300    0.23    0.29
4MS4B       433      XRAY        1.900    0.19    0.22
5NCBA       409      XRAY        1.440    0.13    0.15
3LXZA       229      XRAY        1.760    0.20    0.23
4M6BC        55      XRAY        1.780    0.23    0.22
2WJ9A       181      XRAY        1.620    0.19    0.22
4WFCA       115      XRAY        2.350    0.19    0.22
5MV0A       207      XRAY        1.930    0.17    0.21
5AQMB       118      XRAY        1.630    0.17    0.20
2B0CA       206      XRAY        2.000    0.21    0.26
2QCUA       501      XRAY        1.750    0.21    0.24
2HL7A        84      XRAY        1.700    0.21    0.23
2IU5A       195      XRAY        1.600    0.20    0.23
5IC7A       422      XRAY        2.330    0.20    0.24
4O0AA       123      XRAY        1.200    0.16    0.18
1DKGA       197      XRAY        2.800    0.22    0.32
2NRRA       159      XRAY        1.200    0.18    0.22
3E0HA       158      XRAY        1.810    0.21    0.23
4EUOA       320      XRAY        1.280    0.17    0.18
3GZBA       154      XRAY        1.440    0.15    0.17
5BMOA       246      XRAY        1.920    0.17    0.21
1R0DA       206      XRAY        1.900    0.22    0.27
2ENDA       138      XRAY        1.450    0.16    1.00
3ZN4A       173      XRAY        1.260    0.16    0.18
5XSPA       343      XRAY        2.150    0.20    0.24
4YBBCP      117      XRAY        2.100    0.22    0.23
3B40A       417      XRAY        2.000    0.19    0.23
1MRZA       293      XRAY        1.900    0.22    0.23
3MDQA       315      XRAY        1.500    0.15    0.18
3U1UA       137      XRAY        1.800    0.20    0.23
4EHUA       276      XRAY        1.600    0.17    0.20
1A92A        50      XRAY        1.800    0.23    0.28
3MP7B        61      XRAY        2.900    0.28    0.32
2DHOA       235      XRAY        1.600    0.17    0.20
1OLZA       663      XRAY        2.000    0.21    0.27
4CSRB        94      XRAY        1.500    0.15    0.18
2R7DA       469      XRAY        1.800    0.22    0.24
5ZW7A       402      XRAY        1.300    0.11    0.13
3VFZA        86      XRAY        1.900    0.20    0.24
4C0FA       117      XRAY        2.400    0.22    0.26
4HYLA       117      XRAY        1.750    0.21    0.23
5NHUI        82      XRAY        1.450    0.18    0.20
5BXGA       162      XRAY        1.900    0.17    0.19
4X8YA       132      XRAY        1.950    0.18    0.21
2C0CA       362      XRAY        1.450    0.17    0.22
4EICA        93      XRAY        0.840    0.11    0.13
3MQDA       428      XRAY        1.250    0.11    0.13
4MU9A       364      XRAY        1.890    0.15    0.19
5YI6A       262      XRAY        1.850    0.17    0.20
1V96A       149      XRAY        1.750    0.21    0.23
4LRVA       109      XRAY        2.500    0.20    0.24
4OJUA       148      XRAY        2.000    0.17    0.19
4V1GA        86      XRAY        1.550    0.16    0.18
3GGNA       155      XRAY        2.000    0.24    0.27
2Z3JA       130      XRAY        1.600    0.19    0.21
5WAIC       100      XRAY        2.900    0.17    0.22
5XBFA       516      XRAY        1.800    0.19    0.21
2Q5CA       196      XRAY        1.490    0.19    0.21
6AQUA       247      XRAY        2.600    0.24    0.29
5G1SA       201      XRAY        1.700    0.21    0.24
2UZ0A       263      XRAY        1.700    0.18    0.21
6FTHA       520      XRAY        1.470    0.16    0.19
6BZGA       197      XRAY        2.130    0.25    0.27
1SHUX       182      XRAY        1.500    0.19    0.21
1W5QA       337      XRAY        1.400    0.15    0.17
3O7BA       244      XRAY        1.450    0.20    0.21
2EX5A       207      XRAY        2.200    0.22    0.23
3LDUA       385      XRAY        1.700    0.17    0.21
5FAVA       815      XRAY        1.600    0.15    0.18
5IYZE       143      XRAY        1.800    0.17    0.20
3DZMA       214      XRAY        2.800    0.20    0.23
5DPOA       119      XRAY        1.640    0.18    0.21
5BT9A       269      XRAY        1.500    0.17    0.19
4YAPA       265      XRAY        1.110    0.17    0.18
5FSVA       266      XRAY        1.200    0.14    0.16
4XUKA       291      XRAY        2.000    0.21    0.24
2VS0A        97      XRAY        1.400    0.17    0.22
5NNYA       322      XRAY        1.700    0.19    0.22
4OMGA       318      XRAY        1.640    0.17    0.20
5BOPB       217      XRAY        1.950    0.19    0.23
1NKOA       132      XRAY        1.450    0.28    0.30
1T8SA       484      XRAY        2.600    0.23    0.26
3KV1A       267      XRAY        1.700    0.17    0.20
6F7LA       442      XRAY        2.500    0.21    0.24
5WY4A       471      XRAY        2.500    0.23    0.26
3UENA       203      XRAY        1.900    0.18    0.22
3LFKA       129      XRAY        1.600    0.21    0.23
3KOGA       256      XRAY        1.850    0.18    0.21
3DPTA       332      XRAY        2.900    0.21    0.24
6CUQA       121      XRAY        2.450    0.18    0.23
5T87A       116      XRAY        2.400    0.22    0.25
4NMXA       125      XRAY        1.850    0.19    0.22
2EHGA       149      XRAY        1.600    0.19    0.22
5W8OA       363      XRAY        1.470    0.15    0.18
5UJUA       576      XRAY        2.050    0.15    0.20
5NULA       138      XRAY        1.600    0.18    1.00
4YBBCZ       62      XRAY        2.100    0.22    0.23
5JMBA        94      XRAY        2.050    0.19    0.23
2I0ZA       447      XRAY        1.840    0.20    0.25
3Q9DA       220      XRAY        2.000    0.18    0.21
5B66Z        62      XRAY        1.850    0.16    0.20
3D9NA       145      XRAY        1.600    0.17    0.20
1HX6A       394      XRAY        1.650    0.19    0.21
5JM8A       576      XRAY        2.200    0.22    0.25
3MPKA       267      XRAY        2.040    0.18    0.22
3MVCA       161      XRAY        1.400    0.16    0.20
4FPWA       181      XRAY        2.500    0.24    0.28
3AONA       217      XRAY        2.000    0.20    0.25
2YVEA       185      XRAY        1.400    0.20    0.22
4OCVA       379      XRAY        1.470    0.19    0.20
4HNEA       384      XRAY        2.950    0.21    0.25
1TBFA       347      XRAY        1.300    0.16    0.18
1Q9JA       422      XRAY        2.750    0.24    0.29
3PPBA       195      XRAY        2.100    0.18    0.21
5CX7A       147      XRAY        1.970    0.16    0.19
3IRSA       291      XRAY        1.760    0.17    0.21
4NMWA       259      XRAY        1.500    0.14    0.18
1R4XA       275      XRAY        1.900    0.17    0.21
4X86B        81      XRAY        1.850    0.21    0.24
4XXBB       148      XRAY        2.400    0.19    0.23
5G1WA       372      XRAY        1.760    0.15    0.18
3L51A       161      XRAY        1.510    0.15    0.17
2J2JA       197      XRAY        1.500    0.17    0.21
5Z73A       457      XRAY        1.930    0.20    0.23
4JB3A       228      XRAY        1.500    0.15    0.17
1G66A       207      XRAY        0.900    0.11    0.13
3BASA        89      XRAY        2.300    0.25    0.29
3VN5A       257      XRAY        1.980    0.21    0.24
4REPA       495      XRAY        1.970    0.16    0.22
1I1WA       303      XRAY        0.890    0.09    0.11
2GZVA       114      XRAY        1.120    0.15    0.17
2X5NA       192      XRAY        1.300    0.12    0.17
3BM7A       115      XRAY        1.350    0.19    0.21
3U07A       443      XRAY        2.080    0.20    0.22
3SZAA       469      XRAY        1.480    0.17    0.19
3MJFA       431      XRAY        1.470    0.14    0.17
4BJZA       424      XRAY        1.510    0.17    0.20
4KMRA       280      XRAY        1.450    0.13    0.18
4QHWA       401      XRAY        1.350    0.11    0.13
2OU6A       190      XRAY        1.800    0.16    0.19
2HALA       212      XRAY        1.350    0.18    0.20
1NEPA       130      XRAY        1.700    0.20    0.21
2RILA        99      XRAY        1.260    0.14    0.16
2FCJA       119      XRAY        1.300    0.19    0.21
4ZY8A       181      XRAY        2.140    0.21    0.25
3Q20A       126      XRAY        1.710    0.18    0.21
4NF1A       150      XRAY        1.400    0.18    0.20
1I1RB       181      XRAY        2.400    0.21    0.26
6G16B        85      XRAY        2.800    0.23    0.26
4YBBAD      205      XRAY        2.100    0.22    0.23
3E0KA       150      XRAY        2.520    0.22    0.25
3MB2B        72      XRAY        2.410    0.21    0.25
3B4QA        94      XRAY        1.550    0.19    0.22
4O5VA       239      XRAY        2.100    0.18    0.23
5NWGA       191      XRAY        1.400    0.14    0.17
1VI0A       206      XRAY        1.650    0.23    0.28
3FDQA       170      XRAY        1.750    0.22    0.23
4PBDA       110      XRAY        1.680    0.20    0.24
3HQXA       111      XRAY        1.660    0.17    0.20
1JLYA       304      XRAY        2.200    0.17    0.25
4FFBC       278      XRAY        2.880    0.21    0.27
5DVWA       134      XRAY        1.750    0.17    0.21
4ESQA       194      XRAY        1.700    0.17    0.20
4NSDA       351      XRAY        2.700    0.22    0.28
3K8PC       357      XRAY        2.600    0.21    0.27
1U9LA        70      XRAY        1.900    0.22    0.24
2NXFA       322      XRAY        1.700    0.16    0.18
2OAAA       249      XRAY        1.500    0.18    0.19
2YIJA       419      XRAY        2.000    0.26    0.26
3AOFA       317      XRAY        1.290    0.17    0.19
3AJWA       150      XRAY        2.100    0.23    0.26
5TRQA       291      XRAY        1.300    0.19    0.21
3AQBA       147      XRAY        2.400    0.24    0.28
2D00A       109      XRAY        2.200    0.21    0.26
3H74A       282      XRAY        1.300    0.19    0.20
4Q4W2       271      XRAY        1.400    0.15    1.00
2OOIA       162      XRAY        2.600    0.23    0.27
2H88C       140      XRAY        1.740    0.18    0.21
4TR6A       380      XRAY        1.500    0.18    0.20
5UOFA       481      XRAY        1.700    0.16    0.18
3CISA       309      XRAY        2.900    0.25    0.27
2W82A       165      XRAY        2.800    0.21    0.25
3PF0A       364      XRAY        2.150    0.18    0.22
5KZSA       340      XRAY        2.300    0.23    0.28
5NR4A       230      XRAY        1.200    0.20    0.21
5KFZA       435      XRAY        1.440    0.19    0.21
3CX5F       146      XRAY        1.900    0.24    0.26
3H20A       323      XRAY        1.990    0.20    0.23
3DM8A       143      XRAY        1.800    0.18    0.22
6HCPA       706      XRAY        1.830    0.16    0.18
1HLBA       158      XRAY        2.500    0.15    1.00
3KBQA       172      XRAY        2.000    0.20    0.24
4X1TA       408      XRAY        2.250    0.20    0.22
3T9YA       150      XRAY        2.000    0.18    0.23
1S4KA       120      XRAY        1.900    0.19    0.22
1WKQA       164      XRAY        1.170    0.16    0.18
1WOLA       122      XRAY        1.620    0.19    0.22
5ILBA       474      XRAY        1.850    0.19    0.23
3U50C       172      XRAY        2.500    0.22    0.25
2YG9A       225      XRAY        1.950    0.17    0.23
2XOVA       181      XRAY        1.650    0.19    0.22
5M1MA       155      XRAY        1.500    0.19    0.22
2GKEA       274      XRAY        1.350    0.14    0.17
3B8LA       163      XRAY        1.750    0.17    0.20
2E7ZA       727      XRAY        1.260    0.16    0.20
4RGUA       162      XRAY        1.890    0.18    0.21
1K7JA       206      XRAY        1.400    0.20    0.20
3IJ6A       312      XRAY        2.000    0.22    0.27
2JHEA       190      XRAY        2.300    0.25    0.32
1R71A       178      XRAY        2.200    0.20    0.25
1O6OD       119      XRAY        2.800    0.24    0.27
4YBBAK      117      XRAY        2.100    0.22    0.23
6B2YA       401      XRAY        1.770    0.19    0.22
1XTEA       154      XRAY        1.600    0.19    0.22
2DDZA       190      XRAY        2.240    0.21    0.25
5NL6A       245      XRAY        2.050    0.19    0.25
4RJZA       407      XRAY        1.170    0.13    0.17
2YAVA       318      XRAY        1.700    0.16    0.19
2R60A       499      XRAY        1.800    0.23    0.25
2H30A       164      XRAY        1.600    0.19    0.21
4RLZA       316      XRAY        1.190    0.14    0.16
4BBYA       658      XRAY        1.900    0.19    0.24
3ZFPA       148      XRAY        1.250    0.16    0.21
5TS9A       173      XRAY        1.950    0.16    0.21
5UWZA       243      XRAY        1.250    0.14    0.17
3RRIA       135      XRAY        1.500    0.14    0.16
4I0XB       103      XRAY        1.960    0.17    0.21
3Q6ZA       214      XRAY        2.230    0.21    0.28
3FMCA       368      XRAY        1.800    0.16    0.19
3MMGA       241      XRAY        1.700    0.18    0.21
5FMUA       137      XRAY        1.590    0.18    0.21
3QP4A       182      XRAY        1.550    0.21    0.24
3RBNA       284      XRAY        2.160    0.21    0.25
4FBWC        59      XRAY        2.200    0.23    0.24
4DMVA       556      XRAY        1.500    0.19    0.21
4UOBA       278      XRAY        1.310    0.14    0.16
3A1FA       186      XRAY        2.000    0.24    0.28
2UVKA       357      XRAY        1.500    0.18    0.22
5UN7B        86      XRAY        2.100    0.18    0.22
2QIKA       285      XRAY        1.350    0.13    0.18
3RIPA       677      XRAY        2.300    0.23    0.26
2ZOGA       479      XRAY        1.700    0.20    0.24
1CJWA       166      XRAY        1.800    0.18    0.23
1Q7LB        88      XRAY        1.400    0.13    0.17
4AVRA        95      XRAY        1.080    0.15    0.18
3PE5A       403      XRAY        2.380    0.21    0.28
3DX5A       286      XRAY        2.120    0.15    0.18
3KXWA       590      XRAY        1.850    0.19    0.23
5JPHA       144      XRAY        1.460    0.14    0.17
4WH5A       162      XRAY        1.820    0.19    0.23
1QQ5A       253      XRAY        1.520    0.20    0.23
3HX8A       129      XRAY        1.450    0.15    0.19
3QMLC       315      XRAY        2.310    0.21    0.27
5ZRYA       194      XRAY        1.300    0.17    0.20
3KZQA       208      XRAY        2.100    0.18    0.22
2WPVB        59      XRAY        1.990    0.17    0.21
6CC2A       543      XRAY        1.660    0.16    0.19
4UVQA       276      XRAY        1.720    0.18    0.20
3ZXKA       542      XRAY        1.440    0.17    0.21
3EXZA       154      XRAY        2.300    0.19    0.21
3M4WA       295      XRAY        2.300    0.24    0.27
3Q8DA       242      XRAY        2.300    0.20    0.23
1BCSB       160      XRAY        2.080    0.17    1.00
4LUQC       144      XRAY        1.770    0.14    0.19
1TV8A       340      XRAY        2.200    0.21    0.24
2Z69A       154      XRAY        2.100    0.22    0.26
3OXHA       282      XRAY        1.750    0.18    0.21
5UNAA       292      XRAY        2.550    0.20    0.22
6BLHG        45      XRAY        2.000    0.19    0.23
3RETA       101      XRAY        1.790    0.21    0.26
4OIEA       185      XRAY        1.850    0.22    0.26
5VHVA       361      XRAY        1.800    0.14    0.16
3DEWA       206      XRAY        1.750    0.17    0.21
3W4TA       461      XRAY        2.100    0.22    0.22
4HFQA       203      XRAY        1.390    0.17    0.20
3LLCA       270      XRAY        1.800    0.16    0.18
5XISA        84      XRAY        1.780    0.22    0.24
2VPAA       216      XRAY        1.200    0.14    0.18
2RC3A       135      XRAY        1.600    0.19    0.24
3GQXA       169      XRAY        2.500    0.25    0.29
2DXUA       235      XRAY        1.280    0.22    0.23
5Y90A       323      XRAY        1.300    0.13    0.17
2BKXA       242      XRAY        1.400    0.12    0.17
4F9CB       144      XRAY        2.080    0.21    0.25
5AMHA       125      XRAY        1.200    0.13    0.16
3VBCA       162      XRAY        1.800    0.18    0.22
5UC2A       255      XRAY        2.100    0.21    0.24
4LP8A       301      XRAY        2.460    0.18    0.25
4Q6UA       353      XRAY        1.950    0.18    0.22
5B6CA       174      XRAY        1.550    0.16    0.20
4QYBA       125      XRAY        2.100    0.21    0.26
